id,classe_id,classe,text,texto
191059,2,desgosto,The physical appearance of a meal.,A aparência física de uma refeição.
11035,2,desgosto,"My parents attitude towards each other when they should become  reconciled, despite my father's long-time addiction.","A atitude de meus pais um para com o outro quando deveriam se reconciliar, apesar do vício de longa data de meu pai."
121056,4,raiva,"Unfair and unjust attitude toward a person close to me, what I  was the witness of, caused anger in me.","A atitude injusta e injusta em relação a uma pessoa próxima a mim, da qual fui testemunha, causou raiva em mim."
331011,5,tristeza,The quarrel between my  parents.,A briga entre meus pais.
11014,3,medo,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.,"A caminho de casa em uma noite de sexta-feira, sob uma forte chuva, o carro adquiriu um avião. Perdi contato com a superfície da estrada por alguns segundos."
81040,2,desgosto,On my way to a concert I went with a man who tried to molest me.  At that moment I did not care much but now the impression fills  me with disgust.,"A caminho de um show, fui com um homem que tentou me molestar. Naquele momento não me importei muito, mas agora a impressão me enche de nojo."
21031,3,medo,"The house was on fire, and I was saved by the dog. I am afraid of  the fire, verging on panic.","A casa estava pegando fogo e eu fui salvo pelo cachorro. Tenho medo do fogo, beirando o pânico."
41042,4,raiva,The outrageous conduct of a relative towards me and those close  to me.(blaming us and lying),A conduta ultrajante de um parente para comigo e aqueles próximos a mim. (Nos culpando e mentindo)
271022,1,culpa,Guilt conscious struck me when I failed my Standard Two  Examinations in 1972. I knew that I would suffer the consequences  of what I had been doing during class hours: thus playing with  friends and sometimes not even going to school.,A consciência de culpa me atingiu quando fui reprovado em meus dois exames padrão em 1972. Eu sabia que sofreria as consequências do que fazia durante o horário de aula: brincar com os amigos e às vezes nem ir à escola.
161030,1,culpa,"Adolescent guilt growing up feeling ""bad, immoral"" sexual  desires, some 10yrs ago.","A culpa do adolescente ao crescer sentindo desejos sexuais ""ruins e imorais"", há cerca de 10 anos."
11016,6,vergonha,The discovery that one has only thought of oneself.,A descoberta de que só pensamos em nós mesmos.
191032,5,tristeza,The disqualification of two of my mates in the military service.,A desqualificação de dois dos meus companheiros no serviço militar.
271086,4,raiva,The headmistress at a secondary school accused me of banging the  classroom door when I didn't in front of the whole class.,A diretora de uma escola secundária me acusou de bater a porta da sala de aula quando eu não bati na frente de toda a classe.
41016,5,tristeza,"The long lasting illness of my grand-mother, and the changes in  family relationships caused by it.",A doença de longa duração de minha avó e as mudanças nas relações familiares causadas por ela.
171013,5,tristeza,The disease and subsequent death of a close acquaintance. Sadness  was accompanied with feelings of powerlessness (I also  experienced sadness in the situation described under guilt).,A doença e a morte subsequente de um conhecido próximo. A tristeza vinha acompanhada de sentimentos de impotência (também experimentei tristeza na situação descrita como culpa).
331008,5,tristeza,"A and I were walking along the new Asia stairway to the Chung Chi  college for our lecture and I saw him with her.  He put one arm  around her shoulder and laugher brightly and joyfully.  I did not  dare and did not want to look, just walked by them quickly.  The  interest of talking to A disappeared and I just wanted to remain  silent.  But I did not want A to know and so I left him and went  to F.  I should have expected this to happen.","A e eu estávamos caminhando ao longo da nova escadaria da Ásia até a faculdade Chung Chi para nossa palestra e eu o vi com ela. Ele colocou um braço em volta do ombro dela e deu uma risada brilhante e alegre. Não me atrevi e não quis olhar, apenas passei por eles rapidamente. O interesse de falar com A desapareceu e eu só queria ficar em silêncio. Mas eu não queria que A soubesse e então o deixei e fui para F. Eu deveria ter esperado que isso acontecesse."
271012,2,desgosto,The emotion came to me when a certain girl who was not polite to  her mother hit her sister severely.,A emoção veio a mim quando uma certa garota que não foi educada com sua mãe bateu severamente em sua irmã.
271012,3,medo,The emotion came when I misbehaved at school and the Principal  threatened me that I was going to be expelled.,A emoção veio quando me comportei mal na escola e o diretor me ameaçou dizendo que eu seria expulso.
271012,4,raiva,The emotion came when a certain boy opened my locker without my  knowledge.,A emoção veio quando um certo garoto abriu meu armário sem meu conhecimento.
301047,2,desgosto,My roommate's lack of consideration of me.,A falta de consideração da minha colega de quarto por mim.
101021,5,tristeza,My fiancT's family was adopting a 5 years old boy. I felt  myself close to him as I never felt before. After some time his  mother demanded the care of the kid and we were obliged to send  him back.,"A família do meu noivo estava adotando um menino de 5 anos. Eu me senti perto dele como nunca antes. Depois de algum tempo, sua mãe exigiu os cuidados do menino e fomos obrigados a mandá-lo de volta."
11088,5,tristeza,A colleague's 17 year old daughter is seriously ill with cancer  and has only a year to live.  I  heard about it 6 weeks ago.,A filha de um colega de 17 anos está gravemente doente com câncer e tem apenas um ano de vida. Eu ouvi sobre isso 6 semanas atrás.
261022,2,desgosto,"The way my husband and his family treated me - unfairly, cruelly,  and unjustly.","A forma como meu marido e sua família me trataram - injusta, cruel e injustamente."
191041,6,vergonha,The girl with whom I was going around had been forbidden to be  alone with me in the house.  We paid no attention to this  prohibition but one day her parents appeared and I jumped out of  the window.  They saw me.,"A garota com quem eu estava saindo fora proibida de ficar sozinha comigo em casa. Não prestamos atenção a essa proibição, mas um dia seus pais apareceram e eu pulei da janela. Eles me viram."
91037,5,tristeza,Girl I was fond of did not initiate conversation as I expected in  tutorial.,A garota de quem eu gostava não iniciou a conversa como eu esperava no tutorial.
41069,3,medo,A neighbour's girl had disappeared and many people were looking  for her.  Someone had gone to notify the police.  Something had  certainly happened to her.,A garota de um vizinho havia desaparecido e muitas pessoas a procuravam. Alguém foi avisar a polícia. Algo certamente havia acontecido com ela.
221012,5,tristeza,The girl I was seeing didn't want to have a serious relationship. ,A garota que eu estava saindo não queria ter um relacionamento sério.
301007,2,desgosto,The serving lady in the students' dining hall shouting at  studennts.,A garçonete no refeitório dos alunos gritando com os alunos.
201051,1,culpa,"The fridge we had at home had a lock.  One day when I wanted  something, I unscrewed the door but unfortunately I was caught in  the act.","A geladeira que tínhamos em casa tinha uma fechadura. Um dia, quando eu queria algo, desatarraxei a porta, mas infelizmente fui pega em flagrante."
11023,5,tristeza,The thought of having to read a boring book of 400 pages in  English.,A ideia de ter que ler um livro chato de 400 páginas em inglês.
11024,5,tristeza,The inability to read a book at college.,A incapacidade de ler um livro na faculdade.
41045,0,alegria,The inflammation of the ear of my child got cured and the doctor  said that the ear was completely all right.,A inflamação do ouvido do meu filho sarou e o médico disse que o ouvido estava bem.
171023,4,raiva,Meddlesomeness of my mother about the way I live. She thinks I am  to free in my behavior for instance when a boyfriend stays the  night.,"A intromissão de minha mãe sobre o modo como vivo. Ela acha que devo ser livre no meu comportamento, por exemplo, quando um namorado passa a noite."
221029,5,tristeza,My roommate's sister committed suicide.,A irmã da minha colega de quarto cometeu suicídio.
101051,1,culpa,"The greatest guilt I felt and I didn't know if it was really  justified is that when I was a child I had a brother very close  to me. He  became ill, and asked me to see  him in the hospital.  I didn't go, when his situation became worse in the U.I.T. (Unity  of intensive therapy) I went and he died.","A maior culpa que senti e não sabia se realmente se justificava é que quando era criança tinha um irmão muito próximo a mim. Ele ficou doente e me pediu para vê-lo no hospital. Não fui, quando a situação dele piorou na UIT (Unidade de terapia intensiva) fui e ele morreu."
261058,0,alegria,"The way this particular girl spoke, behaved, and reacted the  first time I was introduced to her, I felt certain that something  between us would materialize.","A maneira como essa garota em particular falou, se comportou e reagiu na primeira vez que fui apresentada a ela, tive certeza de que algo entre nós iria se materializar."
171040,3,medo,The same situation as with sadness. I was afraid about what my  parents would further do to distroy my relationship.,A mesma situação da tristeza. Eu estava com medo do que meus pais fariam para perturbar meu relacionamento.
171057,4,raiva,"My girlfriend one day went out and promised to be back at 6.00 pm  however she first arrived at 10.00 pm, without a message (we had  to go out that evening).","A minha namorada saiu um dia e prometeu estar de volta às 18 horas, mas ela chegou primeiro às 22 horas, sem uma mensagem (tínhamos que sair naquela noite)."
41014,5,tristeza,The death of my grandmother.,A morte da minha avó.
41022,5,tristeza,The death of my grandmother.,A morte da minha avó.
81007,5,tristeza,My mother's death.,A morte da minha mãe.
302077,5,tristeza,My mother's death.,A morte da minha mãe.
171039,5,tristeza,The death of my mother-in-law after a long sick-bed. at the  moment of dying I was with her.,A morte da minha sogra após uma longa cama doente. no momento de morrer eu estava com ela.
261042,5,tristeza,The death of Jaya Prakash Narayan caused a great deal of sadness  as I believed that he was the only true democrat and a ray of  hope on the Indian horizon.,"A morte de Jaya Prakash Narayan causou muita tristeza, pois eu acreditava que ele era o único verdadeiro democrata e um raio de esperança no horizonte indiano."
261051,5,tristeza,My father's death in January 1983 moved me deeply.  The gloom  prevailed for almost two years and I am still to recover from it.,A morte de meu pai em janeiro de 1983 comoveu-me profundamente. A escuridão prevaleceu por quase dois anos e ainda estou para me recuperar dela.
41026,1,culpa,"The death of my father made me feel quite guilty, because my  attitude towards him had been cold and indifferent.","A morte de meu pai me fez sentir muito culpada, porque minha atitude em relação a ele tinha sido fria e indiferente."
41026,5,tristeza,"The death of my father, even though we had not been very close to  each other.","A morte de meu pai, mesmo não sendo muito próximos um do outro."
91043,5,tristeza,The death of my twin sister - suicide.,A morte de minha irmã gêmea - suicídio.
21013,5,tristeza,The death of a close friend.,A morte de um amigo próximo.
191008,5,tristeza,The death of a friend.,A morte de um amigo.
161026,5,tristeza,The death of an animal we had reared.,A morte de um animal que criamos.
171023,5,tristeza,The dying of a close member of the family.,A morte de um membro próximo da família.
41069,5,tristeza,The death of a close relative.,A morte de um parente próximo.
191020,5,tristeza,"The death of a relative, friend, or someone I esteem.","A morte de um parente, amigo ou alguém que estimo."
101029,5,tristeza,The death of my grandfather.,A morte do meu avô.
21035,5,tristeza,My grandfather's death.,A morte do meu avô.
331005,5,tristeza,The death of my father.,A morte do meu pai.
301051,5,tristeza,My teacher's death.,A morte do meu professor.
201060,5,tristeza,The death of my guardian with whom I had stayed when I did my  grade six.,A morte do meu tutor com quem eu tinha ficado quando fiz minha sexta série.
121034,5,tristeza,The sudden death of one of my parents.,A morte repentina de um dos meus pais.
81046,5,tristeza,My son's mother told me that she wanted to move to Vienna and  take the child with her. This means a rather long distance for  me. My whole family was sad and dumbfounded so that my own  feelings were intensified.,"A mãe de meu filho me disse que queria se mudar para Viena e levar a criança com ela. Isso significa uma distância bastante longa para mim. Minha família inteira estava triste e perplexa, de modo que meus próprios sentimentos se intensificaram."
191078,6,vergonha,The mother of a friend of mine passed by me and saw me sitting  on a boy's lap.  I tried to greet her but could not help  blushing.,"A mãe de um amigo meu passou por mim e me viu sentado no colo de um menino. Tentei cumprimentá-la, mas não pude evitar corar."
301028,5,tristeza,A friend's mother died.,A mãe de um amigo morreu.
91011,6,vergonha,"The mother of a small child found me shaking the child in  exasperation, because I couldn't get it to sleep.","A mãe de uma criança pequena me encontrou sacudindo a criança exasperada, porque eu não conseguia dormir."
91045,4,raiva,The mother of a person with whom we had been sharing a housing  accused me of trying to rip her off over payment of bills in the  house.,A mãe de uma pessoa com quem dividíamos uma casa me acusou de tentar roubá-la para pagar as contas da casa.
41053,6,vergonha,"My boyfriend's mother, whom I had not met earlier, made an  unexpected visit.  I was lying lazily on the bed, reading a  newspaper and my boyfriend was studying.","A mãe do meu namorado, que eu não conhecia antes, fez uma visita inesperada. Eu estava deitada preguiçosamente na cama, lendo um jornal e meu namorado estava estudando."
221068,5,tristeza,"My nephew's mother just left one day (my brother and she were  not married). My nephew, Anthony, was shaken. I was sad for him  because a similar situation happened to me.","A mãe do meu sobrinho acabou de sair um dia (meu irmão e ela não eram casados). Meu sobrinho, Anthony, ficou abalado. Fiquei triste por ele porque uma situação semelhante aconteceu comigo."
41020,1,culpa,Our association had Polish visitors and when they were going back  by boat I did not go to see them off (I am the chairman of the  association).,"A nossa associação recebeu visitantes polacos e, quando iam de barco, não os fui ver (sou o presidente da associação)."
161033,2,desgosto,Our boarder burping after meals !,A nossa pensionista a arrotar depois das refeições!
261044,5,tristeza,"The news of the natural calamity, an earthquake in which hundreds   of Mexican people died.","A notícia da calamidade natural, um terremoto no qual morreram centenas de mexicanos."
101059,5,tristeza,The loss of the woman who loved me most till today.,A perda da mulher que mais me amou até hoje.
91061,5,tristeza,The loss of my father as he died of a massive and sudden heart  attack.,A perda de meu pai quando ele morreu de um ataque cardíaco fulminante e repentino.
201021,5,tristeza,The loss of my mother.,A perda de minha mãe.
122011,5,tristeza,The loss of a very good friend.,A perda de um grande amigo.
122021,5,tristeza,The loss of a close relative who was ill with cancer.,A perda de um parente próximo que estava com câncer.
122008,5,tristeza,The loss of a person I loved very much.,A perda de uma pessoa que eu amava muito.
191074,5,tristeza,"The person whom I liked most left me for a friend of mine, after  several months of mutual help and a profound knowledge of each  other.","A pessoa de quem mais gostei me deixou por um amigo meu, depois de vários meses de ajuda mútua e um profundo conhecimento um do outro."
201025,3,medo,The possibility of having failed the examination.,A possibilidade de ter sido reprovado no exame.
201099,1,culpa,"The first time that I ""played with myself"" despite being a  Christian.  I had read in the bible that it was wrong to make  love to someone one is not married to.","A primeira vez que ""brinquei comigo mesmo"" apesar de ser cristão. Eu tinha lido na Bíblia que era errado fazer amor com alguém com quem não somos casados."
191034,6,vergonha,"The first time that I caressed a girl, I was about thirteen and  she was eighteen.  I noticed that it did not affect her at all.","A primeira vez que acariciei uma garota, eu tinha cerca de treze anos e ela dezoito. Percebi que isso não a afetou em nada."
221043,6,vergonha,The first time I slept at my boyfriends house and had to walk  down the hall to the shower in front of his housemates. I felt  they were judging me.,A primeira vez que dormi na casa do meu namorado e tive que andar pelo corredor até o chuveiro na frente de seus colegas de casa. Eu senti que eles estavam me julgando.
161049,1,culpa,The first time I went away with my boyfriend and lied about where  we were staying.,A primeira vez que fui embora com meu namorado e menti sobre onde estávamos hospedados.
201070,0,alegria,The first time I really fell in love with a girl.,A primeira vez que realmente me apaixonei por uma garota.
91115,5,tristeza,The first time I left home.,A primeira vez que saí de casa.
261026,6,vergonha,The first time that I had to go up on the stage to give a speech.,A primeira vez que tive que subir no palco para fazer um discurso.
271080,0,alegria,The time I first saw my cousin who is living in Tanzania.,A primeira vez que vi meu primo que mora na Tanzânia.
11039,2,desgosto,The first time that I saw a surgeon cut off a leg and put it in a  black rubbish bag.,A primeira vez que vi um cirurgião cortar uma perna e colocá-la em um saco de lixo preto.
191051,2,desgosto,"The first time I saw a pornographic film, all that in practice is  so beautiful but on the screen appered as something mechanical,  irrational, disgusting and dehumanizing.","A primeira vez que vi um filme pornográfico, tudo isso na prática é tão bonito, mas na tela parecia algo mecânico, irracional, nojento e desumanizador."
201112,3,medo,The first time that I saw a dead person.  This was when I started  my gross anatomy practicals.,A primeira vez que vi um morto. Foi quando comecei minhas aulas práticas de anatomia geral.
161054,2,desgosto,"The repression of rioting and non-rioting ""Blacks"" in South  Africa by the police of that ""Democracy"".","A repressão de ""Negros"" rebeldes e não rebeldes na África do Sul pela polícia daquela ""Democracia""."
121073,0,alegria,"The sense of joy comes to me always after a period of depression,  as an organic feeling for an upsurge. I don't exclude the  situative feeling but in this case the reason is not in me, it's  out of me.","A sensação de alegria sempre vem depois de um período de depressão, como um sentimento orgânico de um surto. Não excluo o sentimento situativo, mas neste caso a razão não está em mim, está fora de mim."
101004,0,alegria,The situation in which I felt happiest in my life was when  I was with the person I love for the first time.,A situação em que me senti mais feliz foi quando estava com a pessoa que amo pela primeira vez.
21029,2,desgosto,The sadistinc exacution of a student in the USA.,A sádica execução de um estudante nos EUA.
271012,5,tristeza,The sadness came to me when I heard that my girlfriend whom I  loved so much got married to another man before a rebuff from  her.,A tristeza veio a mim quando soube que minha namorada a quem eu tanto amava se casou com outro homem antes de ser rejeitada por ela.
271012,6,vergonha,The shame came when I was beaten by my teacher at school in front  of boys and girls some of whom were my friends and a girlfriend  apart from being classmates.,"A vergonha veio quando fui espancado pelo meu professor na escola na frente de meninos e meninas, alguns dos quais eram meus amigos e namorada, além de colegas de classe."
201070,3,medo,"The time I drove my uncle's car, without having asked for his  permission.  It was the first time that I was driving a car.","A vez em que dirigi o carro do meu tio, sem pedir permissão. Foi a primeira vez que dirigi um carro."
201023,3,medo,The time I was threatened with expulsion from secondary school (form  four).,A vez em que fui ameaçado de expulsão da escola secundária (formulário quatro).
201002,6,vergonha,"The time I shouted at most of my friends at a party.  It was as if   all my friends had done something wrong, or may be it was the  influence of the beer.","A vez em que gritei com a maioria dos meus amigos em uma festa. Era como se todos os meus amigos tivessem feito algo errado, ou talvez fosse por influência da cerveja."
271075,0,alegria,The time I learnt that I had passed my Malawi School leaving  Certificate Examinations.,A vez em que soube que havia passado na escola do Malaui ao sair dos exames de certificação.
11001,2,desgosto,"The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down, and when the animal  screamed at the moment of death.","A vez que derrubei um cervo - a visão dos ferimentos e do desamparo do animal. A constatação de que o animal estava tão ferido que teve que ser abatido, e quando o animal gritou no momento da morte."
271006,2,desgosto,"The time I went to see one of my girlfriends at Area 18 I found  that she was not there but in the room she was sleeping, in the same  room there were some women visitors with children so the room was  smelling very badly with some faeces and urine in it so I didn't stay  any longer.","A vez que fui ver uma das minhas amigas na Área 18, descobri que ela não estava lá, mas no quarto em que estava dormindo, no mesmo quarto havia algumas mulheres visitantes com crianças, então o quarto estava cheirando muito mal com algumas fezes e urina nele, então eu não fiquei mais."
201053,5,tristeza,"The time I lost a badminton match, that I should have won at the  Zambia closed badminton championships.","A vez que perdi uma partida de badminton, que deveria ter vencido no campeonato fechado de badminton da Zâmbia."
11087,4,raiva,The sight of a man who ran amok (fighting) at a dance.,A visão de um homem que correu loucamente (lutando) em um baile.
191032,2,desgosto,The sight of vomit on the street.,A visão de vômito na rua.
191012,3,medo,The last time I was face to face with with the monstrous dog  which lives in my street.,A última vez que estive cara a cara com o cachorro monstruoso que mora na minha rua.
221045,0,alegria,The last time I had sex.,A última vez que fiz sexo.
221060,5,tristeza,"I last really felt sad when I left home for I was leaving all my  long time, pre-kindergarten relationships behind.","A última vez que me senti realmente triste quando saí de casa, porque estava deixando para trás todos os meus relacionamentos de longa data pré-jardim de infância."
41050,5,tristeza,"The last time I felt sad and disappointed was when I did not do  as well as I had hoped in one of the final exams.  As compared  with the earlier exams, the questions, I think, were unjust.","A última vez que me senti triste e decepcionado foi quando não fui tão bem quanto esperava em um dos exames finais. Em comparação com os exames anteriores, as perguntas, eu acho, foram injustas."
191012,6,vergonha,"The last time I had to phone the Registry, after having called  them so many times in the last few days.","A última vez que precisei ligar para o Cartório, depois de tantas ligações nos últimos dias."
121047,3,medo,The last time I felt it was when I was coming home late at night.,A última vez que senti foi quando voltava para casa tarde da noite.
101052,1,culpa,The only guilt I considered reasonable was my reproval at the end  of the semester at the University.,A única culpa que considerei razoável foi minha reprovação no final do semestre na Universidade.
161054,5,tristeza,A) A documentary in which baby fur seals were being  clubbed/spiked to death by Canadian seal-hunters. Brutally  graphic. B) Description of a disfigured orphaned child in Hiroshima  calling for her mother.,A) Um documentário no qual focas bebês são espancadas / espichadas até a morte por caçadores de focas canadenses. Brutalmente gráfico. B) Descrição de uma criança órfã desfigurada em Hiroshima chamando por sua mãe.
91083,1,culpa,"Leaving University in 1982 following exclusion and lying to  parents/friends about reasons for leaving, i.e. lying about the  fact of having been excluded.","Abandono da Universidade em 1982 após exclusão e mentindo aos pais / amigos sobre os motivos da saída, ou seja, mentindo sobre o facto de ter sido excluído."
21005,2,desgosto,Slaughtering of animals.,Abate de animais.
161004,6,vergonha,"Put down by my father - at a family outing at mutual family  friends dinner. Told ""Not to Speak"". The attitude by him was  negative/I was in mid 20s, I had done many things - a wide range  of experiences. Probably greater than he.","Abatido por meu pai - em um passeio em família em um jantar de amigos em comum. Disse ""Não Falar"". A atitude dele foi negativa / eu tinha cerca de 20 anos, tinha feito muitas coisas - uma vasta gama de experiências. Provavelmente maior do que ele."
11045,3,medo,I had the window open and the door was shut so that the kitten  would not go out.  My partner came in and started talking about  something and I forgot about the window and suddenly I saw the  kitten hanging from the window frame. I was rigid with fright  till I got hold of her.,Abri a janela e fechei a porta para que o gatinho não saísse. Meu parceiro entrou e começou a falar sobre algo e me esqueci da janela e de repente vi o gatinho pendurado na moldura da janela. Fiquei rígido de susto até agarrá-la.
81003,6,vergonha,I put an end to a friendship with a girl - I had only pretended  love and affection to be able to sleep with her.,Acabei com a amizade de uma menina - só fingia amor e carinho para poder dormir com ela.
301018,3,medo,"Just arrived in the university, not knowing anybody.","Acabei de chegar na universidade, sem conhecer ninguém."
301001,0,alegria,Accepted by the college football team.,Aceito pelo time de futebol da faculdade.
41014,0,alegria,I shot the decisive goal in an ice-hockey match.,Acertei o gol decisivo em uma partida de hóquei no gelo.
171025,6,vergonha,I thought of myself as being clumsy when I made love for the  first time with a girl.,Achava-me desajeitado quando fiz amor pela primeira vez com uma garota.
171068,0,alegria,"I thought that someone was angry with me but, by hindsight, that  didn't appear to be the case, he even liked me.","Achei que alguém estava com raiva de mim, mas, olhando para trás, não parecia ser o caso, ele até gostava de mim."
41032,6,vergonha,"I thought I would be able to use the mangle of the house, and so  I did not want any help.  However, I blocked it and I had to get  the janitor to help me out.  He reproached me for not having  followed the instructions","Achei que conseguiria usar o mangle da casa, então não queria ajuda. No entanto, eu bloqueei e tive que pedir ao zelador para me ajudar. Ele me repreendeu por não ter seguido as instruções"
191034,0,alegria,"I thought that I was going to fail a subject and so I began to  study for the final exam, then my friend told me that I had  passed it.  That meant that I could go home, as I do not study in  my hometown.","Achei que ia ser reprovado em uma matéria e então comecei a estudar para o exame final, aí meu amigo me disse que eu tinha passado. Isso significava que eu poderia ir para casa, pois não estudo na minha cidade natal."
191047,1,culpa,"I thought that I could have avoided the above situation (the one  in fear) if I had concentrated more on my work, which I hate.","Achei que poderia ter evitado a situação acima (a do medo) se tivesse me concentrado mais no trabalho, que odeio."
191064,3,medo,"I thought that I would be scolded for a comment I had made, which  I should not have made.","Achei que seria repreendido por um comentário que fizera, que não deveria ter feito."
81048,0,alegria,"I thought that I had failed an examination, but when I was  informed about the mark, I saw that I had passed it.","Achei que tinha reprovado no exame, mas quando fui informado da nota, vi que havia passado."
121073,6,vergonha,I thought I had taken a decision but I hesitated.,"Achei que tivesse tomado uma decisão, mas hesitei."
191075,6,vergonha,I think that the only time I really felt shame was when I was  very young and I had to defecate on the street.  I was very  worried in case someone should see me.,Acho que a única vez que realmente senti vergonha foi quando era muito jovem e tive que defecar na rua. Fiquei muito preocupado caso alguém me visse.
81069,2,desgosto,"I think I have hardly had a situation where I felt disgusted.  Perhaps once, when I saw a big spider.","Acho que dificilmente tive uma situação em que me senti enojado. Talvez uma vez, quando vi uma grande aranha."
81007,6,vergonha,I think I felt ashamed for the first time when I entered a night  club.,Acho que me senti envergonhado pela primeira vez quando entrei em uma boate.
21009,6,vergonha,I guess I have often been ashamed after having talked badly of  other people.,Acho que muitas vezes tenho vergonha depois de falar mal de outras pessoas.
191014,6,vergonha,"I think that I am rather shy and do not mix with people as I  would have liked to, out of shyness.","Acho que sou meio tímida e não me misturo com as pessoas como gostaria, por timidez."
21031,1,culpa,"Car accident, hurt three of my closest family.",Acidente de carro feriu três de minha família mais próxima.
81002,3,medo,Car accident in the middle of the night.,Acidente de carro no meio da noite.
21002,1,culpa,"Car accident. I let a 16-year old, incompetent parson take the  wheel and I feel very guilty about what happened even though I  suffered the worst injuries.","Acidente de carro. Deixei um pároco incompetente de 16 anos assumir o volante e me sinto muito culpado pelo que aconteceu, embora tenha sofrido os piores ferimentos."
91085,3,medo,"Car accident. Travelling as a passenger along narrow bitumen road  at night - trying to overtake semi-trailer. The truck pulled over  onto our side and we hit the wet dirt, swerved back into the  truck, back onto the verge, over a guide post and into a ditch.","Acidente de carro. Viajando como passageiro ao longo de uma estrada estreita de asfalto à noite - tentando ultrapassar o semirreboque. O caminhão parou do nosso lado e batemos na terra molhada, voltamos para dentro do caminhão, voltamos para a beira, por cima de um poste-guia e caímos em uma vala."
21028,3,medo,"Motorcycle accident with two people involved, running off the  road. Broke an arm, only.","Acidente de motocicleta com duas pessoas envolvidas, saindo da estrada. Quebrou um braço, apenas."
101059,3,medo,"Motorcyclistic accident where for some minutes I didn't know if I  was alive or dead, I remained ""cold levered"" during the situation  but felt great fear.","Acidente motociclístico onde por alguns minutos não sabia se estava vivo ou morto, fiquei ""frio alavancado"" durante a situação mas senti muito medo."
271043,1,culpa,I happened to have met one of my teachers in town during working  hours. The badness was I didn't ask for permission to go out and  I was guilty-conscious.,Acontece que conheci um dos meus professores na cidade durante o horário de trabalho. O mal é que eu não pedi permissão para sair e estava me sentindo culpado.
122002,5,tristeza,It happened that I was alone - with no contacts with friends.,Acontece que eu estava sozinho - sem contato com amigos.
271024,4,raiva,It happened that my brother promised to give me money for school  and then he told me that he had failed to fulfil his promise a  day before school started. I became so angry for I thought my  future would be ruined.,Acontece que meu irmão prometeu me dar dinheiro para a escola e então me disse que não havia cumprido sua promessa um dia antes do início das aulas. Fiquei com tanta raiva que pensei que meu futuro estaria arruinado.
261017,3,medo,"It so happened that while staying at anaunt's place I discovered  that I was afraid of sleeping in pitch darkness.  The room  which my sister and I were sharing had no light, and I would  refuse to sleep without having the light of the adjoining  bathroom switched on.","Acontece que, ao ficar na casa de minha tia, descobri que tinha medo de dormir na escuridão. O quarto que minha irmã e eu dividíamos não tinha luz, e eu me recusava a dormir sem que a luz do banheiro contíguo fosse acesa."
101057,1,culpa,It happens sometimes in connection with certain persons with whom  I have frequent relationships but nothing special.,"Acontece às vezes em conexão com certas pessoas com quem tenho relacionamentos frequentes, mas nada de especial."
41079,2,desgosto,"I happened to see the video-tape movie ""This is America - Part  one"" at my friend's place.","Aconteceu de eu ver o filme em fita de vídeo ""This is America - Part one"" na casa do meu amigo."
